Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
BiScIn,0.55,Sc,In,Ti,0.75,0.25,0,0.45,0.9602,8.0000,3.7209,3.9431,117.9500,Yes
BiScIn,0.5,Sc,In,Ti,0.75,0.25,0,0.5,0.9663,8.0000,3.7263,3.9416,118.5000,Yes
BiScIn,0.45,Sc,In,Ti,0.75,0.25,0,0.55,0.9724,8.0000,3.7316,3.9402,119.0500,Yes
BiScIn,0.4,Sc,In,Ti,0.75,0.25,0,0.6,0.9785,8.0000,3.7370,3.9387,119.6000,Yes
BiScIn,0.35,Sc,In,Ti,0.75,0.25,0,0.65,0.9846,8.0000,3.7424,3.9372,120.1500,Yes
BiScIn,0.3,Sc,In,Ti,0.75,0.25,0,0.7,0.9907,8.0000,3.7478,3.9358,120.7000,Yes
BiGa,0.4,Ga,Ga,Ti,0.5,0.5,0,0.6,1.0040,8.0000,3.8040,3.8858,138.4000,No
BiGa,0.3,Ga,Ga,Ti,0.5,0.5,0,0.7,1.0098,8.0000,3.7980,3.8961,134.8000,No
BiGa,0.25,Ga,Ga,Ti,0.5,0.5,0,0.75,1.0127,8.0000,3.7950,3.9013,133.0000,Yes
BiGa,0.2,Ga,Ga,Ti,0.5,0.5,0,0.8,1.0156,8.0000,3.7920,3.9064,131.2000,Yes
BiGa,0.1,Ga,Ga,Ti,0.5,0.5,0,0.9,1.0214,8.0000,3.7860,3.9167,127.6000,Yes
BiZnTi,0.3,Zn,Ti,Ti,0.5,0.5,0,0.7,1.0022,9.5000,3.7830,3.9050,129.4000,Yes
BiZnTi,0.2,Zn,Ti,Ti,0.5,0.5,0,0.8,1.0106,9.0000,3.7820,3.9123,127.6000,Yes
BiZnTi,0.1,Zn,Ti,Ti,0.5,0.5,0,0.9,1.0189,8.5000,3.7810,3.9197,125.8000,Yes
BiMgZr,0.45,Mg,Zr,Ti,0.5,0.5,0,0.55,0.9800,8.0000,3.7193,3.9189,132.1000,Yes
BiMgZr,0.4,Mg,Zr,Ti,0.5,0.5,0,0.6,0.9852,8.0000,3.7260,3.9198,131.2000,Yes
BiMgZr,0.35,Mg,Zr,Ti,0.5,0.5,0,0.65,0.9905,8.0000,3.7328,3.9207,130.3000,Yes
BiMgZr,0.2,Mg,Zr,Ti,0.5,0.5,0,0.8,1.0062,8.0000,3.7530,3.9234,127.6000,Yes
BiMgZr,1,Mg,Zr,Ti,0.5,0.5,0,0,0.9223,8.0000,3.6450,3.9090,142.0000,No
BiMgTi,1,Mg,Ti,Ti,0.5,0.5,0,0,0.9487,8.0000,3.7250,3.8480,141.5000,No
BiIn,0.05,In,In,Ti,0.5,0.5,0,0.95,1.0202,8.0000,3.7795,3.9305,125.8500,Yes
BiIn,0.1,In,In,Ti,0.5,0.5,0,0.9,1.0133,8.0000,3.7790,3.9339,127.7000,No
BiIn,0.15,In,In,Ti,0.5,0.5,0,0.85,1.0063,8.0000,3.7785,3.9374,129.5500,No
BiIn,0.2,In,In,Ti,0.5,0.5,0,0.8,0.9994,8.0000,3.7780,3.9408,131.4000,No
BiIn,0.25,In,In,Ti,0.5,0.5,0,0.75,0.9924,8.0000,3.7775,3.9443,133.2500,No
BiIn,0.3,In,In,Ti,0.5,0.5,0,0.7,0.9854,8.0000,3.7770,3.9477,135.1000,No
BiIn,0.35,In,In,Ti,0.5,0.5,0,0.65,0.9785,8.0000,3.7765,3.9512,136.9500,No
BiMn,0.8,Mn,Mn,Ti,0.5,0.5,0,0.2,0.9710,11.2000,4.1000,3.8462,135.2000,No
BiMn,0.7,Mn,Mn,Ti,0.5,0.5,0,0.3,0.9781,10.8000,4.0600,3.8563,133.8000,No
BiMn,0.6,Mn,Mn,Ti,0.5,0.5,0,0.4,0.9851,10.4000,4.0200,3.8664,132.4000,Yes
BiMn,0.5,Mn,Mn,Ti,0.5,0.5,0,0.5,0.9921,10.0000,3.9800,3.8765,131.0000,Yes
BiMn,0.4,Mn,Mn,Ti,0.5,0.5,0,0.6,0.9991,9.6000,3.9400,3.8866,129.6000,Yes
BiMn,0.3,Mn,Mn,Ti,0.5,0.5,0,0.7,1.0061,9.2000,3.9000,3.8967,128.2000,Yes
BiMn,0.2,Mn,Mn,Ti,0.5,0.5,0,0.8,1.0132,8.8000,3.8600,3.9068,126.8000,Yes
BiMn,0.1,Mn,Mn,Ti,0.5,0.5,0,0.9,1.0202,8.4000,3.8200,3.9169,125.4000,Yes
BiZnTi,0.4,Zn,Ti,Ti,0.5,0.5,0,0.6,0.9939,10.0000,3.7840,3.8976,131.2000,No
BiZnTi,0.5,Zn,Ti,Ti,0.5,0.5,0,0.5,0.9856,10.5000,3.7850,3.8903,133.0000,No
